UNICEF Region,UNICEF Region Full,iso3,adm0_name,map_lab,adm0_altnm,adm0_id
ECARO,Europe and Central Asia Regional Office,KAZ,Kazakhstan,Kazakhstan,NA,132
ESARO,East and Southern Africa Regional Office,KEN,Kenya,Kenya,NA,133
Non-PDC,Non-Program Document Country,UMI,Kingman Reef,Kingman Reef (USA),NA,134
EAPRO,East Asia and Pacific Regional Office,KIR,Kiribati,Kiribati,NA,135
NA,#N/A,xRI,Kuril Islands,NA,NA,136
MENARO,Middle East North Africa Regional Office,KWT,Kuwait,Kuwait,NA,137
ECARO,Europe and Central Asia Regional Office,KGZ,Kyrgyzstan,Kyrgyzstan,NA,138
EAPRO,East Asia and Pacific Regional Office,LAO,Lao People's Democratic Republic,Lao People's Democratic Republic,Laos,139
Non-PDC,Non-Program Document Country,LVA,Latvia,Latvia,NA,140
ESARO,East and Southern Africa Regional Office,LSO,Lesotho,Lesotho,NA,142
WCARO,West and Central Africa Regional Office,LBR,Liberia,Liberia,NA,144
EAPRO,East Asia and Pacific Regional Office,MHL,Marshall Islands,Marshall Islands,NA,157
Non-PDC,Non-Program Document Country,MTQ,Martinique,Martinique (Fr.),NA,158
WCARO,West and Central Africa Regional Office,MRT,Mauritania,Mauritania,NA,159
Non-PDC,Non-Program Document Country,MUS,Mauritius,Mauritius,NA,160
LACRO,Latin America and Caribbean Regional Office,PRY,Paraguay,Paraguay,NA,194
LACRO,Latin America and Caribbean Regional Office,PER,Peru,Peru,NA,195
NA,#N/A,xJK,Jammu and Kashmir,Jammu and Kashmir *,NA,285
Non-PDC,Non-Program Document Country,LIE,Liechtenstein,Liechtenstein,NA,146
Non-PDC,Non-Program Document Country,LTU,Lithuania,Lithuania,NA,147
Non-PDC,Non-Program Document Country,LUX,Luxembourg,Luxembourg,NA,148
Non-PDC,Non-Program Document Country,MAC,Macao,"Macao, SAR China",NA,149
ESARO,East and Southern Africa Regional Office,MDG,Madagascar,Madagascar,NA,150
EAPRO,East Asia and Pacific Regional Office,MYS,Malaysia,Malaysia,NA,153
ROSA,Regional Office of South Asia,MDV,Maldives,Maldives,NA,154
WCARO,West and Central Africa Regional Office,MLI,Mali,Mali,NA,155
Non-PDC,Non-Program Document Country,BLM,Saint Barthélemy,Saint Barthélemy (Fr.),NA,1004
Non-PDC,Non-Program Document Country,MYT,Mayotte,Mayotte (Fr.),NA,161
LACRO,Latin America and Caribbean Regional Office,MEX,Mexico,Mexico,NA,162
EAPRO,East Asia and Pacific Regional Office,FSM,Micronesia (Federated States of),Micronesia (Federated States of),Micronesia,163
Non-PDC,Non-Program Document Country,UMI,Midway Islands,Midway Islands (USA),NA,164
Non-PDC,Non-Program Document Country,MCO,Monaco,Monaco,NA,166
EAPRO,East Asia and Pacific Regional Office,MNG,Mongolia,Mongolia,NA,167
Non-PDC,Non-Program Document Country,UMI,Palmyra Atoll,Palmyra Atoll (USA),NA,190
LACRO,Latin America and Caribbean Regional Office,MSR,Montserrat,Montserrat (UK),NA,168
MENARO,Middle East North Africa Regional Office,MAR,Morocco,Morocco,NA,169
ESARO,East and Southern Africa Regional Office,MOZ,Mozambique,Mozambique,NA,170
ESARO,East and Southern Africa Regional Office,NAM,Namibia,Namibia,NA,172
EAPRO,East Asia and Pacific Regional Office,NRU,Nauru,Nauru,NA,173
Non-PDC,Non-Program Document Country,UMI,Navassa Island,Navassa Island (USA),NA,174
ROSA,Regional Office of South Asia,NPL,Nepal,Nepal,NA,175
